Profile;Load;Condition;Gauge;month 1;month 2;month 3;month 4;month 5;month 6;month 7;month 8;month 9;month 10;month 11;month 12
MB5;32,5;H-index;1440;0,53;0,53;0,53;0,53;0,53;0,53;0,53;0,73;0,88;0,9;0,94;1,01
MB5;32,5;H-index;1445;0,53;0,53;0,53;0,53;0,54;0,57;0,57;0,78;0,88;0,94;1;1,1
MB5;32,5;H-index;1450;0,53;0,53;0,53;0,53;0,53;0,53;0,81;0,9;0,94;0,96;1,06;1,11
MB5;32,5;H-index;1455;0,53;0,53;0,53;0,53;0,53;0,55;0,8;0,91;1,04;1,11;1,21;1,3
MB6;32,5;H-index;1450;0,53;0,53;0,53;0,53;0,53;0,53;0,82;0,92;0,97;0,98;1,11;1,15
MB6;32,5;H-index;1455;0,53;0,53;0,53;0,53;0,53;0,53;0,85;0,95;0,98;1,01;1,13;1,2
MB5;32,5;Wear;1440;0,048;0,059;0,062;0,066;0,071;0,083;0,206;0,303;0,37;0,425;0,537;0,665
MB5;32,5;Wear;1445;0,066;0,079;0,089;0,093;0,105;0,112;0,249;0,335;0,433;0,493;0,611;0,704
MB5;32,5;Wear;1450;0,038;0,064;0,069;0,078;0,082;0,087;0,258;0,345;0,446;0,541;0,625;0,721
MB5;32,5;Wear;1455;0,053;0,07;0,082;0,095;0,099;0,114;0,263;0,401;0,537;0,614;0,713;0,792
MB6;32,5;Wear;1450;0,035;0,042;0,057;0,074;0,077;0,082;0,241;0,333;0,429;0,527;0,656;0,725
MB6;32,5;Wear;1455;0,048;0,062;0,07;0,076;0,081;0,085;0,268;0,339;0,464;0,543;0,666;0,748
MB5;32,5;RCF-residual;1440;0;0;0;0;0;0;0;0;0;0;0;0
MB5;32,5;RCF-residual;1445;0;0;0;0;0;0;0;0;0;0;0;0
MB5;32,5;RCF-residual;1450;0;0;0;0;0;0;0;0;0,11;0,27;0,35;0,45
MB5;32,5;RCF-residual;1455;0;0;0;0;0;0;0;0,07;0,24;0,36;0,55;0,67
MB6;32,5;RCF-residual;1450;0;0;0;0;0;0;0;0;0,01;0,02;0,2;0,27
MB6;32,5;RCF-residual;1455;0;0;0;0;0;0;0;0,11;0,35;0,63;0,79;0,99
MB5;32,5;RCF-depth;1440;0,009;0,0204;0,0336;0,047;0,0565;0,0661;0,1212;0,1872;0,243;0,3002;0,3441;0,42
MB5;32,5;RCF-depth;1445;0,0116;0,0232;0,0353;0,0472;0,0583;0,0802;0,1318;0,1982;0,2892;0,3826;0,4535;0,5234
MB5;32,5;RCF-depth;1450;0,0272;0,0474;0,0656;0,0823;0,0976;0,1135;0,3105;0,4369;0,5854;0,7058;0,8126;0,9234
MB5;32,5;RCF-depth;1455;0,0328;0,0646;0,0982;0,1203;0,1526;0,2064;0,3964;0,5817;0,79;0,905;1,1196;1,244
MB6;32,5;RCF-depth;1450;0,015;0,0334;0,0515;0,0636;0,0778;0,0959;0,2179;0,379;0,5314;0,6428;0,7548;0,8339
MB6;32,5;RCF-depth;1455;0,0298;0,0693;0,089;0,121;0,1434;0,1739;0,3781;0,6779;0,8587;1,0953;1,2992;1,5158
MB5;30;H-index;1440;0,53;0,53;0,53;0,53;0,53;0,53;0,74;0,85;0,88;0,92;0,95;1,04
MB5;30;H-index;1445;0,53;0,53;0,53;0,53;0,53;0,55;0,74;0,88;0,89;0,98;1,06;1,14
MB5;30;H-index;1450;0,53;0,53;0,53;0,53;0,53;0,53;0,89;0,98;0,99;1,03;1,12;1,2
MB5;30;H-index;1455;0,53;0,53;0,53;0,53;0,53;0,53;0,9;0,98;0,99;1,11;1,2;1,27
MB6;30;H-index;1450;0,53;0,53;0,53;0,53;0,53;0,53;0,78;0,88;0,89;0,96;1,06;1,09
MB6;30;H-index;1455;0,53;0,53;0,53;0,53;0,53;0,53;0,7;0,86;0,89;0,94;1,1;1,16
MB5;30;Wear;1440;0,048;0,055;0,057;0,068;0,073;0,076;0,216;0,298;0,368;0,48;0,572;0,674
MB5;30;Wear;1445;0,05;0,077;0,095;0,098;0,1;0,116;0,225;0,33;0,433;0,528;0,652;0,749
MB5;30;Wear;1450;0,051;0,054;0,066;0,081;0,089;0,096;0,299;0,368;0,44;0,587;0,674;0,788
MB5;30;Wear;1455;0,042;0,049;0,063;0,078;0,093;0,096;0,304;0,373;0,455;0,589;0,682;0,809
MB6;30;Wear;1450;0,046;0,054;0,08;0,096;0,098;0,104;0,18;0,296;0,353;0,45;0,642;0,711
MB6;30;Wear;1455;0,052;0,07;0,075;0,078;0,08;0,083;0,228;0,325;0,399;0,554;0,644;0,725
MB5;30;RCF-residual;1440;0;0;0;0;0;0;0;0;0;0;0;0
MB5;30;RCF-residual;1445;0;0;0;0;0;0;0;0;0;0;0;0
MB5;30;RCF-residual;1450;0;0;0;0;0;0;0;0;0,17;0,21;0,3;0,32
MB5;30;RCF-residual;1455;0;0;0;0;0;0;0;0,11;0,46;0,56;0,77;1
MB6;30;RCF-residual;1450;0;0;0;0;0;0;0;0;0;0,03;0,04;0,13
MB6;30;RCF-residual;1455;0;0;0;0;0;0;0;0,07;0,37;0,64;0,75;0,93
MB5;30;RCF-depth;1440;0,0103;0,0233;0,0316;0,0411;0,0469;0,0532;0,1221;0,1664;0,2001;0,2502;0,2922;0,3205
MB5;30;RCF-depth;1445;0,0124;0,0207;0,027;0,0373;0,0447;0,0556;0,1273;0,2344;0,3069;0,3774;0,4302;0,4813
MB5;30;RCF-depth;1450;0,0209;0,0455;0,0667;0,0847;0,1026;0,1149;0,2531;0,4222;0,5721;0,6908;0,8203;0,91
MB5;30;RCF-depth;1455;0,0438;0,073;0,0999;0,1204;0,1526;0,1842;0,4636;0,7153;0,9468;1,0884;1,3346;1,5917
MB6;30;RCF-depth;1450;0,0159;0,0345;0,0528;0,065;0,0725;0,0931;0,1921;0,303;0,4185;0,4868;0,5331;0,6
MB6;30;RCF-depth;1455;0,0261;0,0558;0,0846;0,1165;0,143;0,1663;0,3112;0,5704;0,7909;1,0188;1,2443;1,4316
